	name	latitude	longitude	address	city	country	state	zip_code	categories	price	rating	review_count
0	Old Ebbitt Grill	38.898005	-77.033362	675 15th St NW	Washington, DC	US	DC	20005	['Bars', 'American (Traditional)', 'Breakfast & Brunch']	$$	4.0	6544
1	A Baked Joint	38.9024108024879	-77.0171392790004	440 K St NW	Washington, DC	US	DC	20001	['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']	$	4.5	1218
2	Le Diplomate	38.911359	-77.031575	1601 14th St NW	Washington, DC	US	DC	20009	['Brasseries', 'French', 'Cafes']	$$$	4.0	2449
3	Rasika	38.8950080871582	-77.0212860107422	633 D St NW	Washington, DC	US	DC	20004	['Indian']	$$$	4.5	2633
4	Matchbox - Chinatown	38.90005	-77.02254	713 H St NW	Washington, DC	US	DC	20001	['Pizza', 'American (New)']	$$	4.0	2673
5	Daikaya Ramen Shop	38.8986	-77.0195899	705 6th St NW	Washington, DC	US	DC	20001	['Ramen']	$$	4.0	2417
6	Busboys and Poets - 5th and K	38.9028	-77.018671	1025 5th St NW	Washington, DC	US	DC	20001	['American (Traditional)', 'Breakfast & Brunch', 'Mediterranean']	$$	4.0	1604
7	Founding Farmers - DC	38.900313	-77.044533	1924 Pennsylvania Ave NW	Washington, DC	US	DC	20006	['American (Traditional)', 'Coffee & Tea', 'Breakfast & Brunch']	$$	4.0	10805
8	Acadiana	38.902252636206	-77.024475868215	901 New York Ave NW	Washington, DC	US	DC	20001	['Cajun/Creole', 'Cocktail Bars', 'American (New)']	$$$	4.0	1286
9	Fogo de Chão Brazilian Steakhouse	38.8951162456108	-77.0273284769837	1101 Pennsylvania Ave NW	Washington, DC	US	DC	20004	['Brazilian', 'Steakhouses']	$$$	4.0	1578
10	The Dabney	38.9063563388808	-77.0244961023773	122 Blagden Aly NW	Washington, DC	US	DC	20001	['American (New)', 'Desserts', 'Cocktail Bars']	$$$	4.5	458
11	Wiseguy Pizza	38.899670106188	-77.0160423825012	300 Massachusetts Ave NW	Washington, DC	US	DC	20001	['Pizza']	$	4.5	792
12	Reren	38.900318145752	-77.0215911865234	817 7th St NW	Washington, DC	US	DC	20001	['Ramen', 'Asian Fusion', 'Chinese']	$$	4.0	1045
13	City Tap House	38.9011329	-77.0236995	901 I St NW	Washington, DC	US	DC	20001	['Bars', 'American (New)']	$$	4.0	1250
14	La Colombe Coffee	38.9064687179387	-77.0249282196164	924 Rear N St NW	Washington, DC	US	DC	20001	['Coffee & Tea']	$	4.5	446
15	The Pig	38.90793	-77.03229	1320 14th St NW	Washington, DC	US	DC	20005	['American (Traditional)', 'Cocktail Bars']	$$	4.0	1432
16	Corduroy	38.90507	-77.02436	1122 9th St NW	Washington, DC	US	DC	20001	['American (New)']	$$$	4.0	515
17	Brasserie Beck	38.902816620504	-77.027234484939	1101 K St NW	Washington, DC	US	DC	20005	['Belgian', 'Modern European']	$$$	4.0	1298
18	Poke Papa	38.89965	-77.02329	806 H St NW	Washington, DC	US	DC	20001	['Poke', 'Hawaiian']	$$	4.5	543
19	Barcelona Wine Bar	38.91211	-77.0323499	1622 14th St NW	Washington, DC	US	DC	20005	['Tapas/Small Plates', 'Wine Bars', 'Spanish']	$$	4.0	1264
20	&pizza	38.8963050035053	-77.0263680524658	1005 E St NW	Washington, DC	US	DC	20004	['Pizza']	$	4.5	799
21	Shouk	38.9027301424332	-77.0205767914411	655 K St NW	Washington, DC	US	DC	20001	['Middle Eastern', 'Vegan', 'Vegetarian']	$$	4.5	429
22	RPM Italian	38.9023026852199	-77.0209709153443	650 K St NW	Washington, DC	US	DC	20001	['Italian']	$$$	4.0	661
23	Ben's Chili Bowl	38.91727	-77.02878	1213 U St NW	Washington, DC	US	DC	20009	['Hot Dogs', 'Burgers', 'American (Traditional)']	$	3.5	3478
24	Thai X-ing	38.9152336120605	-77.0189590454102	515 Florida Ave NW	Washington, DC	US	DC	20001	['Thai']	$$$	4.0	877
25	SUNdeVICH	38.90776373566	-77.024359310674	1314 9th St NW	Washington, DC	US	DC	20001	['Sandwiches']	$$	4.0	511
26	Chaplin's	38.909798	-77.023651	1501 9th St NW	Washington, DC	US	DC	20001	['Cocktail Bars', 'Ramen']	$$	4.0	734
27	Tortino Restaurant	38.9064963428348	-77.027224703041	1228 11th St NW	Washington, DC	US	DC	20001	['Italian']	$$	4.0	615
28	ChurchKey	38.9084128488013	-77.0318697756855	1337 14th St NW	Washington, DC	US	DC	20005	['American (New)', 'Lounges']	$$	4.0	1321
29	Luke's Lobster Penn Quarter	38.8961366095594	-77.0215538976227	624 E St NW	Washington, DC	US	DC	20004	['Seafood']	$$	4.0	1141
30	HipCityVeg	38.8989352023949	-77.0218704664786	712 7th St NW	Washington, DC	US	DC	20001	['Vegetarian', 'Vegan']	$$	4.5	522
