GEO.id2,HD01_VD02,,
Id2,Estimate; Median age -- - Total:,MEAN INCOME - ALL HOUSEHOLDS,% of people using public transport
601,37.6,20349,0
602,39.5,23282,0.004369538
603,39.9,26820,0.007805033
606,40.8,15730,0
610,40.2,23360,0
612,39.9,25590,0.006178344
616,42.8,20605,0
617,37.1,21487,0.008904888
622,42.5,29228,0.019765739
623,40.9,24732,0.002283939
624,35.5,21436,0.002751032
627,39,25547,0.000799452
631,43.8,11541,0
637,40.1,21402,0.004559271
638,38.7,18551,0.011559064
641,39.9,21956,0
646,38.1,42216,0.008386103
647,45,18414,0.008070433
650,37.1,20068,0
652,40.1,27009,0
653,37.4,20419,0.000843882
656,38.3,21878,0
659,39.4,26846,0.00186416
660,44,27020,0.00631845
662,39.8,22575,0.004276986
664,35.2,20909,0
667,42.1,18983,0.003419835
669,39,19734,0
670,38.3,18517,0.0027833
674,39.3,26132,0.003342065
676,37.3,21043,0.005677947
677,42.7,23183,0
678,39.1,23326,0.001674022
680,39.2,22886,0.015457245
682,36.2,28024,0.009122446
683,42,24256,0.006424747
685,41.3,19898,0.003225806
687,35.2,21169,0.005008567
688,39.3,20366,0.003007016
690,38.1,27584,0
692,36.1,28616,0.018838652
693,38.7,25764,0.013977493
694,70.4,11986,#DIV/0!
698,40.9,22054,0.01226361
703,37.5,22903,0.029493946
704,34.7,19734,0
705,39.8,23623,0.002741134
707,41.5,23474,0.01522401
714,37.2,20843,0.02116129
715,41.3,17197,0.016574586
716,39.3,33191,0.004471494
717,34.6,21853,0.012610929
718,35.8,27038,0.004346607
719,37,26677,0.007558375
720,36.3,18954,0.010715914
723,41.7,19795,0.006439496
725,38.7,30303,0.013720022
727,38.3,42318,0.010588817
728,36.8,24784,0
729,37,30549,0.029546346
730,39,26949,0.012167209
731,41,26119,0
735,40.3,27450,0.002907745
736,39.6,32817,0.006808224
738,39.4,27048,0.009046983
739,37.5,33665,0.01011378
740,34.8,17483,0
741,41.6,26292,0
745,38.5,29901,0.008242603
751,37.2,21730,0.006739526
754,38.9,26352,0.026585433
757,35.5,24663,0
765,42.8,22794,0.009782609
766,36,24305,0.00107825
767,39.7,21612,0
769,37.8,25957,0.001727744
771,37,27252,0.001238646
772,36.2,21643,0.098186257
773,39.3,27777,0.014323407
775,39,22398,0
777,36.1,26145,0.004894109
778,36.7,43073,0.014853257
780,37.7,41359,0.011706439
782,36.3,19032,0.011256076
783,36.4,21872,0.0070535
784,36.4,23393,0.008005899
786,64.4,21362,0
791,39.5,29500,0.003132118
794,34.2,21201,0.006677266
795,36.9,26090,0.01120266
901,42.1,56616,0.078281623
906,30.9,61145,0
907,47.1,65052,0.10137457
909,37.7,25403,0.175925926
911,48.5,49988,0.083635266
912,40.7,31702,0.108008214
913,28,18136,0.199498118
915,38.3,17901,0.255506608
917,43.4,24691,0.115408805
918,40.2,40315,0.054493628
920,43.7,33514,0.079001168
921,36.8,28534,0.083587113
923,38.8,21986,0.136191677
924,36.8,29467,0.067945305
925,32.2,20687,0.276619509
926,40.8,55161,0.028124386
927,46.8,60666,0.030589544
934,38.7,71551,0
936,59.2,-,#DIV/0!
949,37.7,32963,0.03313636
950,-,-,#DIV/0!
951,-,N,0
952,40.4,23958,0.03533809
953,35.9,42533,0.012078236
956,38.9,29608,0.040588164
957,38.3,32221,0.053828484
959,40.1,36835,0.052742161
960,32.8,-,#DIV/0!
961,41.4,41713,0.047284644
962,35.5,24298,0.098231827
965,38.5,23457,0.09541558
966,42.8,87583,0.017340169
968,56.7,72416,0.004657352
969,40.6,73110,0.027727547
971,41.5,35481,0.021674419
976,37.9,42732,0.018052444
979,49.1,54327,0.033020211
982,42.1,32812,0.074493445
983,38.8,35927,0.0328517
985,41.4,32432,0.041778254
987,36.6,40525,0.031629077
1001,44.5,71100,0.008345719
1002,23.4,78112,0.107307349
1003,19.9,84224,0.041048467
1005,43.3,83117,0
1007,42.2,87967,0.012057667
1008,49.3,76843,0
1009,55.6,47654,0
1010,45.8,93709,0
1011,41,74925,0
1012,51.2,74791,0
1013,34.9,50463,0.026378897
1020,43.7,66820,0.007840575
1022,35.6,59961,0
1026,48.7,59482,0.029166667
1027,44.5,74060,0.01779323
1028,45.5,98760,0.013940752
1029,50.3,66496,0
1030,44,80197,0.001238062
1031,42.9,55128,0
1032,49.2,73799,0.008152174
1033,44.3,99635,0.026507428
1034,46.7,86027,0.001754386
1035,46,88636,0.018731515
1036,49.1,103879,0
1037,52.4,94717,0
1038,49.8,79047,0.004161712
1039,53.8,91596,0
1040,35.4,55058,0.020700938
1050,43,67737,0
1053,51.3,78233,0.041474654
1054,49.8,104930,0.003770028
1056,44.7,80629,0.003410231
1057,46,79689,0
1060,34.8,76699,0.033118027
1062,44.1,96354,0.017962963
1063,20.3,-,0.08358209
1066,-,N,#DIV/0!
1068,44.7,84626,0.003167899
1069,43.8,70263,0
1070,52.2,66942,0.012698413
1071,47.5,84781,0
1072,47.2,82629,0.012345679
1073,45.9,89349,0
1074,33.5,59351,0
1075,40.9,77600,0.013393347
1077,44.6,98163,0.00222582
1079,43.4,58678,0
1080,38.4,51921,0
1081,44.1,58807,0
1082,43.1,64322,0.003254017
1083,37,57085,0
1084,59.4,84429,0
1085,38.3,76432,0.005994736
1086,19.4,-,0
1088,50.9,57723,0
1089,39.2,67740,0.022092173
1092,40.7,80066,0
1093,52.3,103292,0
1094,53.8,55901,0
1095,48,104757,0.009165527
1096,44.7,82619,0.003646973
1097,43.2,N,0
1098,52,78584,0.019138756
1103,32.7,33804,0.114470842
1104,34.3,46122,0.046638335
1105,30.2,29237,0.127947186
1106,46.5,146591,0.003744835
1107,30.3,35196,0.060036946
1108,31.5,50406,0.071764485
1109,26,42156,0.083594056
1118,38.7,70476,0.016131335
1119,35.4,60073,0.01221068
1128,47.8,87233,0.020552799
1129,41.7,68442,0.008451472
1151,30.4,42941,0.025556472
1199,-,-,#DIV/0!
1201,43.3,60650,0.013736264
1220,45,58817,0.006614694
1222,48,91436,0.035984848
1223,52.9,92704,0.001607717
1224,49.6,42630,0.084337349
1225,47.9,66538,0.033829499
1226,47.5,69849,0.00523865
1229,60.2,44011,0
1230,48.9,85413,0.02222765
1235,46.9,74144,0.003261579
1236,42.6,76238,0
1237,39.8,88289,0.002781641
1238,48.6,80573,0.023109937
1240,57.2,93331,0
1242,31.4,58804,0
1243,56.6,96115,0
1244,57,54446,0
1245,54,81187,0.012
1247,43.3,51755,0.016475645
1253,50.3,80339,0.021276596
1254,58.5,121120,0
1255,52,76577,0.009638554
1256,45.3,60636,0
1257,50.9,80736,0.006554307
1258,62.8,85172,0.020304569
1259,54.2,97017,0.033333333
1260,44.4,85392,0
1262,53.3,78344,0.04341534
1264,65.9,116968,0.047619048
1266,54.9,102514,0.016949153
1267,30.7,96182,0.008685235
1270,49.2,90606,0
1301,43.9,62364,0.002243158
1330,48.8,86944,0.004494382
1331,43.7,60653,0.012195122
1337,49.7,72307,0
1338,53.6,86013,0
1339,49.8,70819,0.004716981
1340,48.4,65577,0
1341,49.4,104182,0.009493671
1342,43.4,117725,0
1343,59.5,85685,0
1344,40.5,62584,0.02020202
1346,50.3,78379,0
1347,38.7,37783,0
1349,53.3,66416,0.040998217
1350,43.5,50386,0
1351,46.4,80231,0.005429864
1354,48.3,78717,0.003879728
1355,50.2,71443,0.014492754
1360,45,76412,0
1364,44.3,49677,0.009230769
1366,50.5,79920,0.005235602
1367,44.1,68792,0
1368,47,70702,0
1370,50.2,79184,0.00426945
1373,47.2,76948,0.01793161
1375,26.6,77469,0.163811116
1376,41.9,55829,0.003902862
1378,53.7,65447,0
1379,50.3,68050,0.024937656
1420,34.5,60006,0.017318187
1430,42.8,101726,0.01242236
1431,45.5,89211,0.008363202
1432,40.7,89226,0.031991744
1434,42.9,98173,0.028880866
1436,42.1,72822,0.025684932
1438,54.4,51718,0
1440,40.7,56106,0.004405811
1450,44.4,139780,0.015574067
1451,47.1,170231,0.034930587
1452,42.6,90214,0
1453,40.8,71889,0.012711042
1460,44.5,128367,0.035091362
1462,45.1,97511,0.016752137
1463,42.8,97090,0.009639355
1464,43.1,85298,0.03714601
1467,39.7,201535,0
1468,47.1,73330,0
1469,39,96722,0.005447471
1473,42.9,96068,0.031765276
1474,45.3,130515,0
1475,43.3,71920,0
1501,44.7,84963,0.01000488
1503,46.9,121142,0.006563246
1504,42.7,86664,0.006774258
1505,44.7,128170,0.025092555
1506,42,77653,0.000610874
1507,42.3,97335,0.002748047
1510,40,71776,0.007534533
1515,43.7,88400,0.016299919
1516,39.9,96471,0.002791497
1518,44.5,92306,0
1519,42.5,125768,0.028854561
1520,40.9,114492,0.005792997
1521,44.5,83380,0.001447178
1522,43.3,114727,0
1523,37.7,111811,0.016739846
1524,43,70574,0.005293954
1525,32.6,72121,0
1527,43.5,84754,0.007169487
1529,41.9,93545,0.003012048
1531,46,98303,0
1532,42.2,126559,0.022401667
1534,42.4,117347,0.014714538
1535,43.4,74828,0.000807103
1536,40.2,110286,0.0172889
1537,36,76288,0.040382572
1540,41,76539,0
1541,45.3,132498,0.002233389
1542,46.4,88960,0.010628875
1543,40.8,104702,0
1545,40.5,116336,0.015366947
1550,39.2,55984,0.000130174
1560,36.6,95551,0.034706155
1561,59.1,59269,0
1562,42.3,74668,0.013041297
1564,44.2,116653,0.003538928
1566,41.8,117430,0.00152952
1568,41,124500,0.020372671
1569,39.4,97988,0.004644809
1570,41,64095,0.00128667
1571,38.1,83248,0.00449827
1581,41.3,120057,0.028740403
1583,38.4,92488,0.008480565
1585,47.9,85404,0
1588,40.1,77755,0
1590,43.8,120602,0.002901554
1602,39.6,78492,0.021655002
1603,37.4,59923,0.015605977
1604,34.9,61580,0.030278638
1605,31.9,53378,0.044189853
1606,39.7,78206,0.027124217
1607,34.5,58308,0.036547247
1608,27.2,28342,0.121442125
1609,28.5,74891,0.029105564
1610,28.4,41352,0.060278043
1611,40.6,85303,0
1612,38.8,116093,0.010574018
1701,43.6,106915,0.029192364
1702,34,69320,0.047073111
1718,38.7,148546,0.139240506
1719,42.1,141920,0.025230988
1720,43.2,149731,0.055483871
1721,41.4,124567,0.031075529
1730,43.8,145916,0.01757335
1731,21.3,84275,0.032846715
1740,42.6,158772,0.025641026
1741,49.5,241015,0.006167763
1742,46.8,184798,0.074135511
1745,43.3,109245,0
1746,41.7,125884,0.037866969
1747,41.2,103396,0.039312851
1748,40.9,170740,0.074927954
1749,43.3,93401,0.007626783
1752,39.7,89063,0.018617619
1754,42.2,106537,0.035683203
1756,44,131148,0.047080979
1757,39.2,88014,0.019916786
1760,40.5,126638,0.081887943
1770,45.8,219071,0.061911838
1772,42.5,187891,0.025695029
1773,51.6,226237,0.073209976
1775,43.8,138941,0.030461271
1776,43.7,222617,0.036647993
1778,46.6,187891,0.027073823
1801,39,90728,0.043315976
1803,42.4,109093,0.032432022
1810,42.3,158870,0.046788499
1821,40.9,108852,0.034084243
1824,44.4,120660,0.031339031
1826,39.1,92396,0.017737948
1827,45.5,139285,0.007540603
1830,39.5,75998,0.045350399
1832,38.3,76397,0.03941253
1833,42.9,124121,0.011181758
1834,46.3,108081,0.034654919
1835,38.7,82012,0.022249691
1840,34.4,36210,0.065144766
1841,30.7,46114,0.049380238
1843,30.8,54967,0.030456402
1844,39,83085,0.012761859
1845,41.4,130036,0.029016658
1850,31,60869,0.023379384
1851,33.6,63832,0.025376007
1852,36.1,62860,0.042444087
1854,30.3,55892,0.044693572
1860,44.8,93381,0.042016807
1862,40.8,99483,0.017326733
1863,43.7,93229,0.020609515
1864,43.7,139077,0.043446154
1867,41.5,131324,0.07333073
1876,44.3,102973,0.018492628
1879,40.6,121055,0.021542119
1880,42.2,104002,0.078982882
1886,42.3,143539,0.014587266
1887,42.3,114629,0.035330765
1890,42.9,192339,0.106376839
1901,41.6,31409,0.380478088
1902,31.6,54570,0.17428558
1904,38.9,94485,0.076728157
1905,32.5,66195,0.12425238
1906,45.3,89203,0.074514715
1907,44.6,134087,0.108965703
1908,49.9,102709,0.108266667
1913,43.7,93488,0.026885736
1915,39.9,98735,0.073413443
1921,45.3,180416,0.02349486
1922,45.4,108156,0.01871491
1923,44.8,95324,0.022664536
1929,44.7,123656,0.063475546
1930,47.6,88458,0.046561358
1937,50,-,#DIV/0!
1938,48,101023,0.044830485
1940,45.9,135577,0.033497097
