zip_code,Estimate; Total
20001,43731
20002,57412
20003,28538
20004,1667
20005,12947
20006,2905
20007,26687
20008,28141
20009,51499
20010,32544
20011,66571
20012,14393
20015,16331
20016,35101
20017,19311
20018,19957
20019,56090
20020,53646
20024,11665
20032,39776
20036,5405
20037,15687
20045,0
20052,388
20053,0
20057,3651
20064,1945
20105,15021
20106,5187
20109,37332
20110,48019
20111,34000
20112,26867
20115,6551
20117,2530
20118,11
20119,4345
20120,41180
20121,29835
20124,15620
20129,532
20130,127
20132,17939
20135,2835
20136,31361
20137,1318
20139,266
20141,6493
20143,1175
20144,1268
20147,61983
20148,38831
20151,22203
20152,28574
20155,32716
20158,4219
20164,39222
20165,33519
20166,10150
20169,22604
20170,42818
20171,49067
20175,31288
20176,50629
20180,6535
20181,7959
20184,541
20186,14713
20187,16511
20190,18445
20191,29362
20194,13635
20197,1738
20198,2262
20202,0
20204,0
20228,0
20230,0
20240,0
20245,0
20260,0
20307,299
20317,482
20319,89
20373,141
20390,485
20405,0
20418,0
20427,0
20506,0
20510,0
20520,0
20535,0
20540,0
20551,0
20553,0
20560,0
20565,0
20566,0
20593,0
20601,25028
20602,26708
20603,31784
20607,10639
20608,806
20611,1197
20612,473
20613,14606
20615,460
20616,6014
20617,932
20623,3041
20625,703
20629,180
20632,290
20637,5247
20639,15034
20640,11137
20645,1031
20646,18615
20657,19525
20658,1196
20662,3262
20664,2905
20675,1563
20676,4419
20677,2487
20678,12163
20685,6342
20688,1653
20689,1481
20693,1299
20695,5661
20705,27305
20706,39718
20707,32362
20708,26196
20710,9690
20712,9146
20714,4394
20715,26627
20716,21860
20720,21865
20721,27718
20722,5966
20732,9973
20735,38610
20736,9947
20737,21720
20740,31152
20742,6759
20743,38828
20744,51759
20745,29145
20746,27196
20747,37800
20748,38236
20754,6616
20762,3226
20769,6619
20770,25954
20772,44836
20774,44796
20781,11493
20782,33896
20783,48590
20784,30306
20785,36592
20812,286
20814,28241
20815,30009
20816,16581
20817,36164
20818,2056
20832,26151
20833,7638
20837,6046
20838,247
20839,64
20841,11467
20842,1634
20850,47184
20851,14930
20852,45962
20853,30336
20854,50494
20855,14686
20860,2566
20861,1848
20862,260
20866,13959
20868,1012
20871,16795
20872,13016
20874,59202
20876,26423
20877,36724
20878,64890
20879,25584
20880,535
20882,14253
20886,34752
20895,19494
20896,919
20899,127
20901,36280
20902,51960
20903,25835
20904,55623
20905,18308
20906,69820
20910,40707
20912,26098
21701,35968
21702,39608
21703,33723
21704,15455
21705,12
21710,4986
21714,65
21716,5071
21717,34
21718,150
21727,6483
21754,6228
21755,5848
21758,4909
21762,234
21769,11208
21770,5307
21771,29778
21773,5468
21774,12562
21777,1591
21778,1077
21780,1559
21788,11909
21790,53
21793,10337
21798,2348
22003,60058
22015,45029
22025,16897
22026,15896
22027,2081
22030,57649
22031,31445
22032,29956
22033,39359
22035,0
22039,18126
22041,29110
22042,34215
22043,25923
22044,14230
22046,17062
22060,10260
22066,18366
22079,34218
22101,29867
22102,23806
22124,18352
22125,729
22134,8644
22150,26912
22151,17484
22152,28900
22153,30809
22172,9338
22180,25035
22181,15702
22182,26532
22185,0
22191,66463
22192,56024
22193,80461
22201,35137
22202,22337
22203,23462
22204,53091
22205,19455
22206,21142
22207,33153
22209,12118
22211,1020
22213,3551
22214,0
22301,12102
22302,18486
22303,13746
22304,47488
22305,16808
22306,34489
22307,10220
22308,13491
22309,35105
22310,30333
22311,18183
22312,32763
22314,31117
22315,28494
22401,27395
22405,29977
22406,23556
22407,57023
22408,27953
22448,573
22485,24360
22534,3529
22551,20064
22553,14322
22554,54078
22556,27359
22610,1653
22611,8860
22620,2346
22630,31671
22639,395
22642,4446
22643,77
22645,3899
22646,191
22663,1485
22701,33414
22712,8171
22713,1534
22714,1102
22718,814
22720,1070
22724,2297
22726,538
22728,3168
22729,1221
22733,1873
22734,3705
22735,2704
22736,943
22737,2370
22741,81
22742,2112
25401,14675
25403,13586
25404,21859
25405,13551
25413,8514
25414,17254
25419,9998
25420,4058
25425,13505
25427,11823
25428,11078
25430,8214
25432,71
25438,6932
25442,1519
25443,7442
25446,1638
